Key,Key Description,Type,Source,Module
Cryopreserved,,STRING,,Experimental_Data
Snap Frozen,,STRING,,Experimental_Data
Formalin,,STRING,,Experimental_Data
PAXGene Tube,,STRING,,Experimental_Data
