"Valid Values","Description","Source"
"biopsy","",""
"bm_organoid","",""
"dna","",""
"epithelial_organoid","",""
"pax_gene","",""
"pbmcs","",""
"plasma","",""
"resected_tissue","",""
"serum","",""
"unknown","",""
"whole_blood","",""
