Key,Key Description,Type,Source,Module
fastq,,STRING,,File_Annotations
 bam,,STRING,,File_Annotations
 csv,,STRING,,File_Annotations
 xlsx,,STRING,,File_Annotations
 txt,,STRING,,File_Annotations
 pdf,,STRING,,File_Annotations
 tsv,,STRING,,File_Annotations
 .h5,,STRING,,File_Annotations
 tar.gz,,STRING,,File_Annotations
 .h5ad,,STRING,,File_Annotations
