Key,Key Description,Type,Source,Module
SR,scRNA-seq data,,,Other
 BR,,,,Other
 CY,,,,Other
 PT,,,,Other
 FS,,,,Other
 MT,,,,Other
 WE,,,,Other
 WG,,,,Other
